Order Date,Region,Sales,Order Year,Order Month,Order YearMonth
2011-01-01,EMEA,66.12,2011,1,2011-01
2011-01-01,Oceania,120.366,2011,1,2011-01
2011-01-01,Africa,408.3,2011,1,2011-01
2011-01-01,Oceania,55.242,2011,1,2011-01
2011-01-01,North,44.865,2011,1,2011-01
2011-01-01,Oceania,113.67,2011,1,2011-01
2011-01-02,Canada,314.22,2011,1,2011-01
2011-01-03,North,854.49,2011,1,2011-01
2011-01-03,Oceania,912.456,2011,1,2011-01
2011-01-03,EMEA,51.84,2011,1,2011-01
2011-01-03,Central,195.2,2011,1,2011-01
2011-01-03,Africa,81.24,2011,1,2011-01
2011-01-03,EMEA,122.58,2011,1,2011-01
2011-01-03,EMEA,16.71,2011,1,2011-01
2011-01-03,Oceania,159.444,2011,1,2011-01
2011-01-03,EMEA,47.43,2011,1,2011-01
2011-01-03,EMEA,62.34,2011,1,2011-01
2011-01-03,Southeast Asia,6.006,2011,1,2011-01
2011-01-03,Oceania,69.3,2011,1,2011-01
2011-01-03,Southeast Asia,337.6395,2011,1,2011-01
2011-01-03,Southeast Asia,211.1805,2011,1,2011-01
2011-01-03,Oceania,68.868,2011,1,2011-01
2011-01-03,Southeast Asia,135.1182,2011,1,2011-01
2011-01-03,Oceania,35.883,2011,1,2011-01
2011-01-03,EMEA,666.84,2011,1,2011-01
2011-01-03,Oceania,276.102,2011,1,2011-01
2011-01-03,Southeast Asia,192.87,2011,1,2011-01
2011-01-04,North,26.64,2011,1,2011-01
2011-01-04,South,148.96,2011,1,2011-01
2011-01-04,Caribbean,38.26,2011,1,2011-01
2011-01-04,North Asia,27.36,2011,1,2011-01
2011-01-04,South,1648.44,2011,1,2011-01
2011-01-04,North,17.01,2011,1,2011-01
2011-01-04,South,74.304,2011,1,2011-01
2011-01-04,Caribbean,37.84,2011,1,2011-01
2011-01-04,North,165.54824,2011,1,2011-01
2011-01-04,Africa,15.48,2011,1,2011-01
2011-01-04,Central,16.448,2011,1,2011-01
2011-01-04,North,222.56,2011,1,2011-01
2011-01-04,Africa,5.91,2011,1,2011-01
2011-01-04,Caribbean,185.76,2011,1,2011-01
2011-01-04,Central,139.77,2011,1,2011-01
2011-01-04,Caribbean,38.58,2011,1,2011-01
2011-01-05,Central,11.784,2011,1,2011-01
2011-01-05,Central,272.736,2011,1,2011-01
2011-01-05,North,3028.8,2011,1,2011-01
2011-01-05,Central,207.12,2011,1,2011-01
2011-01-05,Central,89.55,2011,1,2011-01
2011-01-05,Central,3.54,2011,1,2011-01
2011-01-05,North Asia,48.78,2011,1,2011-01
2011-01-06,East,19.536,2011,1,2011-01
2011-01-06,Southeast Asia,40.7358,2011,1,2011-01
2011-01-06,Southeast Asia,89.9886,2011,1,2011-01
2011-01-06,North Asia,30.54,2011,1,2011-01
2011-01-06,Southeast Asia,38.7693,2011,1,2011-01
2011-01-06,Central,324.45,2011,1,2011-01
2011-01-06,Southeast Asia,50.1984,2011,1,2011-01
2011-01-06,Africa,28.32,2011,1,2011-01
2011-01-07,Southeast Asia,387.5175,2011,1,2011-01
2011-01-07,EMEA,174.33,2011,1,2011-01
2011-01-07,South,6.54,2011,1,2011-01
2011-01-07,Central,33.39,2011,1,2011-01
2011-01-07,South,31.12,2011,1,2011-01
2011-01-07,South,43.04,2011,1,2011-01
2011-01-07,South,5.48,2011,1,2011-01
2011-01-07,Africa,91.38,2011,1,2011-01
2011-01-07,Southeast Asia,273.702,2011,1,2011-01
2011-01-07,Southeast Asia,27.456,2011,1,2011-01
2011-01-07,Africa,44.7,2011,1,2011-01
2011-01-07,Southeast Asia,17.76,2011,1,2011-01
2011-01-07,Southeast Asia,445.41,2011,1,2011-01
2011-01-07,Central,716.04,2011,1,2011-01
2011-01-07,EMEA,26.43,2011,1,2011-01
2011-01-07,South,755.96,2011,1,2011-01
2011-01-07,Central,5.025,2011,1,2011-01
